,logFC,t,P.Value,adj.P.Val,B,sig
SMAD2,-0.0878654540928032,-2.01244841265177,0.0466400297920253,0.0800740432433693,-4.75936565380794,Not
COPA,-0.0912491270778215,-2.0120269160442,0.0466851642611922,0.0801371348446117,-4.76017913548036,Not
TMEM160,0.179165323841561,2.01084833699812,0.0468115660435125,0.0803396776422064,-4.7624529354181,Not
TIMM13,0.246077656354535,2.0093022723368,0.0469778229924816,0.0806105362751219,-4.76543384158714,Not
RNPEP,0.118137216243717,2.00894953355507,0.0470158254390075,0.0806612617406025,-4.76611364535611,Not
POLR2C,-0.0860114283741176,-2.00879677638313,0.0470322909246903,0.0806750264003483,-4.76640800704708,Not
ZNF442,0.150979334247722,2.00829095302783,0.0470868480366745,0.0807541133952731,-4.76738257588628,Not
LIME1,-0.189548710674583,-2.0065363251532,0.0472765172453969,0.0810648481602392,-4.77076144923466,Not
RPS21,0.165337001146252,2.00612409826273,0.0473211719223322,0.0811268602242207,-4.77155487392164,Not
SEC63,-0.0807298019072604,-2.00591901549477,0.0473434010038339,0.0811504107610111,-4.77194954615514,Not
UFC1,0.0911133613111801,2.00580815141287,0.0473554213548144,0.0811564574007544,-4.77216288332894,Not
CHRD,-0.0686279783980597,-2.00390919143331,0.0475617189045468,0.0814953892508247,-4.77581537780673,Not
SLC25A17,-0.0662757885386567,-2.00367722823806,0.0475869711399046,0.0815240401959356,-4.77626132007146,Not
PARP2,0.104905526216557,2.00357895755413,0.047597672637836,0.081527757613759,-4.77645022805986,Not
RPAP1,-0.117797885538084,-2.00226646114454,0.0477407978447851,0.0817582552338291,-4.7789724457503,Not
PEMT,-0.12601809204665,-2.00206245454791,0.0477630772707811,0.0817817535207998,-4.7793643464658,Not
ROBO3,0.125421859256255,2.00197844934224,0.0477722539988392,0.0817828124709615,-4.77952571135949,Not
PAFAH1B3,0.151000011620132,2.00067405119814,0.0479149393335829,0.0820123876538989,-4.78203051247727,Not
NDUFC2,-0.117541896132876,-2.00018619197196,0.047968398429837,0.0820891861381665,-4.78296694627593,Not
CLMN,-0.222993101947745,-1.99967835193768,0.0480241009700319,0.0821697956794315,-4.7839415075793,Not
FEN1,0.117996556576978,1.99884165790875,0.0481159941043734,0.0823122878018962,-4.78554664926574,Not
RDH8,-0.0694590403131148,-1.99867650388217,0.0481341504679666,0.0823286096065668,-4.78586341256278,Not
ZMAT4,-0.0907151049059438,-1.9980802369996,0.0481997502042059,0.0824260581516449,-4.78700684256338,Not
CTNS,0.116201111890092,1.9979729029926,0.0482115668966939,0.0824315142717493,-4.78721263777235,Not
PTPN12,0.0994551332178055,1.9978258137574,0.0482277643575483,0.0824444572809896,-4.7874946403889,Not
TESK2,-0.143568212666186,-1.99663147175163,0.0483594569321525,0.0826547970745215,-4.78978374470586,Not
TRIP12,0.10519847088591,1.9963468274137,0.048390888019198,0.0826937278096309,-4.79032911328991,Not
PHF20,-0.0634251171404019,-1.99607248551082,0.0484211979478052,0.0827307290522487,-4.79085467445297,Not
CASP2,-0.0817272733674814,-1.9957181433677,0.0484603704100459,0.0827828565674649,-4.79153339411027,Not
STK11,-0.0914207607547928,-1.99527775938965,0.0485090923847311,0.0828512755725631,-4.79237676546261,Not
GPR132,-0.108187980791921,-1.99517598622092,0.0485203580116841,0.0828557078555491,-4.79257164482531,Not
BEX1,-0.184420200985835,-1.99495718387467,0.048544585548728,0.0828822689840352,-4.7929905851193,Not
CMPK1,-0.144682409325544,-1.99441699433047,0.0486044437392233,0.0829696435105427,-4.79402470198319,Not
SLAMF7,-0.172347360683352,-1.99327891436092,0.0487307595906388,0.0831704123322279,-4.79620254485405,Not
TXN2,-0.0907765811461996,-1.99310694787959,0.0487498704835267,0.0831881718465323,-4.79653152149274,Not
SIAH2,-0.096206846686071,-1.99230264441606,0.0488393386459547,0.0833259632388401,-4.79806982634704,Not
MDFI,-0.0653437281161358,-1.99212534785289,0.0488590793386912,0.0833447629704629,-4.7984088448801,Not
CALD1,0.135454093576257,1.99070308538458,0.0490176838652557,0.0836003903295347,-4.80112741736909,Not
DAGLA,-0.0811293191733311,-1.99056058258521,0.0490335992769557,0.0836126114722678,-4.80139970383977,Not
PRKCG,-0.071960604402479,-1.99046091501107,0.04904473325344,0.0836166763550175,-4.80159013237101,Not
RUNX3,0.168818218585328,1.98957797254731,0.0491434617178338,0.0837700535454192,-4.80327672794445,Not
ZNF205,0.123858275922764,1.98900901647691,0.0492071705347918,0.0838636921045962,-4.80436317883918,Not
CCNJL,-0.116461832190675,-1.98874506814049,0.0492367499818708,0.0838991410176101,-4.80486710375556,Not
KCNJ8,-0.231148937945513,-1.9880679353249,0.0493127022509078,0.0840135822267204,-4.80615958814491,Not
HCG4,-0.162290084372816,-1.98411745064225,0.0497578076031096,0.0847567931292896,-4.81369196493963,Not
GH1,-0.053488080984593,-1.98379006541953,0.0497948472315782,0.0848047692291857,-4.81431556465917,Not
REEP1,-0.153089894167216,-1.98362845647728,0.049813139943908,0.0848208063620786,-4.81462336031614,Not
ZNF688,-0.102669918530306,-1.98348113544128,0.0498298203680563,0.0848340928981197,-4.81490392334229,Not
LRRFIP2,-0.0967602869032849,-1.98208992999879,0.0499875738759938,0.0850875055146058,-4.81755242583333,Not
FNBP1,0.109430772496625,1.98081845038176,0.0501321223313178,0.0853183545855873,-4.81997149013842,Not
LEPROTL1,0.129933597712697,1.97955444088438,0.0502761734800485,0.0855422058368752,-4.82237491194431,Not
MYO5A,0.142246028096249,1.97950725110897,0.0502815582027761,0.0855422058368752,-4.82246461224406,Not
PRMT1,-0.159880483942025,-1.979308312433,0.050304264050409,0.0855656011508915,-4.8228427413506,Not
CLIC3,0.153082409406065,1.97894863913736,0.0503453374429208,0.0856202250586495,-4.82352629421773,Not
RNF122,-0.124742021427727,-1.9785621204093,0.0503895082457441,0.0856800962271051,-4.82426073763308,Not
SH2D2A,-0.132830505829355,-1.97664796095228,0.0506087411826124,0.0860375610640533,-4.82789596120897,Not
ELMO1,0.156960240565753,1.97651338780074,0.0506241845788947,0.0860485072635927,-4.8281514090491,Not
SVEP1,-0.0750273113291637,-1.97431035415028,0.0508775707886862,0.0864512687907193,-4.83233092593148,Not
BCAT2,0.166539217214662,1.97429594655739,0.0508792314440148,0.0864512687907193,-4.83235824523733,Not
CDH13,0.345543639492435,1.97407414996554,0.0509048020845156,0.0864793402168233,-4.83277878681586,Not
IFI6,0.442150417987753,1.97353382012584,0.0509671416827968,0.0865698553005343,-4.83380310541883,Not
SCD,-0.111300674039181,-1.9733508353377,0.0509882679153568,0.0865903480005597,-4.83414993576264,Not
BOLA1,0.133569449147275,1.97239242197993,0.0510990415689945,0.0867630492596502,-4.83596602898168,Not
CRIP2,0.216578310409545,1.97215141548127,0.051126929283614,0.0867949789010865,-4.83642258201615,Not
GNL1,0.107239905594131,1.97137521085183,0.0512168344943772,0.0869321617101719,-4.83789264022167,Not
SEC31B,-0.135738514385891,-1.97129471713029,0.0512261654901656,0.0869325585906628,-4.83804505691896,Not
HIGD1B,-0.0784272171733997,-1.97079402707262,0.0512842389061258,0.0870156582008059,-4.83899299496949,Not
AFAP1,-0.103694335312249,-1.97061755745628,0.0513047203575811,0.0870322154524455,-4.83932704501322,Not
LZTS1,-0.0639335754713075,-1.97055302028245,0.051312212417233,0.0870322154524455,-4.83944920439668,Not
ASB7,-0.105234369355315,-1.97010602078203,0.0513641296593587,0.0871048133140783,-4.84029520659194,Not
