outcome	KNG1	FN1	ALB	PLG	IGF1	EGF	HRG	TYROBP	CSF1R	ITGB2
IgAN	7.646451588	8.275086575	7.912396608	9.017144241	7.019434723	6.577009308	7.302176299	7.723626873	7.623696268	6.926516125
IgAN	6.131252535	10.16565515	4.170397991	6.260049724	6.633173929	5.701992822	6.280964889	10.38441823	10.00916655	9.644886592
IgAN	7.127943344	8.153425822	6.547718449	8.188667088	7.663365713	6.621622487	6.540370455	9.342235581	9.104869539	8.638236828
IgAN	8.109645366	9.111223203	7.195817585	10.89804576	7.803017232	7.692635403	7.240792227	9.060279995	8.962143087	8.869521009
IgAN	6.432789533	9.40658182	5.71894986	6.623241246	6.981735435	5.361228552	6.121907428	8.667244972	8.452884783	7.916700878
IgAN	7.437039799	8.29356167	7.938869746	8.802569079	7.094420022	8.057078597	6.821171347	8.752669006	8.448401448	7.775055317
IgAN	8.247737097	9.425163834	6.538209294	9.17947098	7.007504893	7.233358983	6.627202341	11.06739379	10.07002326	9.174726761
IgAN	6.955091123	8.975161674	4.554542878	7.138056922	6.948348598	6.398208472	6.207535099	10.46754866	9.739419592	9.187057879
IgAN	6.694158215	9.344170504	7.016740687	7.234201482	7.476449223	6.308175058	6.235724197	9.221625646	9.253138104	8.554080395
IgAN	6.367872923	9.915024782	5.996764073	7.604683775	7.966753018	6.882173479	6.353644571	9.5327231	9.179427773	8.848439019
IgAN	7.532302822	7.444231815	8.063375343	9.497414538	7.863735104	7.046510481	7.2432313	8.499704183	8.013740022	8.026723638
IgAN	7.989928604	7.896791969	8.049014082	11.17184151	7.531138495	7.432924089	8.503779074	7.182694446	7.315140838	6.224223619
IgAN	6.915752672	7.734703223	6.428125298	9.468902687	8.897186887	6.351289491	7.238754832	8.982405054	8.301467543	7.423535823
IgAN	6.062579588	7.217931085	4.400926568	5.867005411	7.791033694	6.436600446	6.019868108	10.3888458	9.87446077	9.564031082
IgAN	6.582782223	8.222009628	5.993177508	7.204025758	7.270441814	6.578276569	6.256810449	8.942369818	8.75386909	8.427930482
IgAN	6.786784462	7.637240834	5.3124738	8.559824586	7.308333132	6.319902131	6.883030284	7.908950143	7.679022967	6.879580773
IgAN	5.955442469	8.507619893	4.544868658	6.478042978	7.748185043	5.520289095	6.262899701	11.29092431	8.360422287	9.859023722
IgAN	8.202873405	9.727015983	4.313182462	5.794996519	6.85393259	6.793620739	7.166361086	8.965320601	9.14380743	8.676814647
IgAN	7.687982272	8.287487583	7.918678839	9.068643521	7.026106663	6.638403675	7.456429671	7.691614831	7.585479266	6.860444562
IgAN	6.212971573	10.34990761	4.241753909	6.201474315	6.633073423	5.781540477	6.370734287	10.42298086	10.04554052	9.706101918
IgAN	7.175963214	8.151393779	6.570163125	8.222503058	7.663002776	6.665837716	6.586947298	9.354055742	9.119137093	8.653376616
IgAN	9.470443255	8.495514239	9.665923731	10.22226482	8.462694318	8.389337215	8.147160839	8.819153074	8.430547303	8.171347623
IgAN	8.137013402	9.141038387	7.22870897	11.03241009	7.834756318	7.743142551	7.313438697	9.054736375	8.951345611	8.888545949
IgAN	6.473807774	9.486742686	5.760465288	6.593052899	6.954574499	5.423865399	6.130523078	8.652242511	8.455165338	7.88820482
IgAN	7.479603602	8.299714433	7.941269616	8.84417784	7.084248659	8.097174191	6.839468351	8.761490965	8.436356593	7.750623482
IgAN	6.556553184	8.467448957	6.839934958	7.812389962	7.787704022	6.457542898	6.568043647	8.896438751	8.469081258	8.277181402
IgAN	8.25550379	9.536081275	6.515060608	9.253210506	7.004420768	7.261529561	6.744955385	11.14261689	10.14198167	9.205203184
IgAN	7.051597256	8.978696416	4.572420206	7.136321316	6.942605874	6.449836022	6.192840476	10.51544085	9.782910193	9.225514262
IgAN	6.754662263	9.404361559	7.031849496	7.234553801	7.497508544	6.347075902	6.267286015	9.210287487	9.283665338	8.568088918
IgAN	6.406407245	10.057548	6.008364448	7.608062873	7.986804785	6.919244659	6.344759047	9.541408229	9.196839746	8.859769896
IgAN	6.521050586	7.745063794	6.425740477	8.274626329	7.794519253	5.65279276	6.56230284	7.911693564	7.890330598	7.436883295
IgAN	9.286314856	8.350272135	8.545425778	10.66370282	8.563890102	9.107058027	8.650769883	7.630348003	7.83560442	6.965646738
IgAN	6.943028407	7.678292671	6.022810095	8.995958726	9.267916006	6.876271448	6.826065725	8.625754049	8.058229715	7.550545341
IgAN	7.210611703	8.189313362	7.175461459	10.35127157	8.783856373	6.693538007	8.018487449	9.077640866	8.731426796	7.827706563
IgAN	9.273725331	6.825481786	5.900260303	9.18463499	10.52716517	9.495612974	7.449990268	8.392470793	7.929647292	7.354661652
IgAN	6.860837128	8.512024644	8.609483616	9.892146393	9.375945443	6.540910893	7.17146388	9.238979607	8.759171752	7.860239974
IgAN	7.08009561	10.5918947	6.756565594	8.400149139	6.515735977	6.200339547	6.544044377	9.970712929	8.674305292	8.768090283
